"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"187",4,0,1,1,1,0,1,"hist",27,0.2307178,0.00125637596283782,0.2326916,0.00154157407866209
"188",4,0,1,1,1,0,1,"hist",28,0.2300106,0.00125332160277926,0.232045,0.00147872620860091
"189",4,0,1,1,1,0,1,"hist",29,0.2292682,0.00114361976198249,0.231363,0.00135915282437042
"190",4,0,1,1,1,0,1,"hist",30,0.2285148,0.000976380745407089,0.2306704,0.0014049735371172
"191",4,0,1,1,1,0,1,"hist",31,0.2279102,0.000704173955776506,0.23014,0.00135853023521586
"192",4,0,1,1,1,0,1,"hist",32,0.2272604,0.000919483681202326,0.2296242,0.00152264630167533
"193",4,0,1,1,1,0,1,"hist",33,0.2268286,0.000886235092964448,0.229275,0.00146363287746363
"194",4,0,1,1,1,0,1,"hist",34,0.2263486,0.000858141853079388,0.2288588,0.00120379357034425
"195",4,0,1,1,1,0,1,"hist",35,0.2257814,0.000844543095410189,0.2284388,0.00103639980702665
"196",4,0,1,1,1,0,1,"hist",36,0.2251938,0.000796933974684454,0.2278784,0.000916794546229104
"197",4,0,1,1,1,0,1,"hist",37,0.2247258,0.000874927745587391,0.2274604,0.000842374880915519
"198",4,0,1,1,1,0,1,"hist",38,0.2242756,0.000789568895032152,0.2270512,0.000808496481128974
"199",4,0,1,1,1,0,1,"hist",39,0.2237236,0.000858435460595601,0.2265616,0.000840663690188891
"200",4,0,1,1,1,0,1,"hist",40,0.223329,0.000785195262336118,0.2262412,0.000827185928314517
"201",4,0,1,1,1,0,1,"hist",41,0.222809,0.000939415562995583,0.2257758,0.000958877969298352
"202",4,0,1,1,1,0,1,"hist",42,0.222461,0.00097230694742187,0.2254842,0.000950927631317669
"203",4,0,1,1,1,0,1,"hist",43,0.222071,0.000872515443989431,0.2250932,0.000997861192753167
"204",4,0,1,1,1,0,1,"hist",44,0.2216314,0.000767931924063531,0.2246968,0.000960040290822407
"205",4,0,1,1,1,0,1,"hist",45,0.2212454,0.000657095000737496,0.2243308,0.000906248840000606
"206",4,0,1,1,1,0,1,"hist",46,0.2208542,0.000613021174183658,0.2239896,0.00094390033371667
"207",4,0,1,1,1,0,1,"hist",47,0.2205432,0.000602110421773271,0.2237404,0.00105614423257415
"208",4,0,1,1,1,0,1,"hist",48,0.2199998,0.000882011201743561,0.2232282,0.00135434654354201
"209",4,0,1,1,1,0,1,"hist",49,0.2193592,0.000977369612786886,0.222653,0.00139025048103016
"210",4,0,1,1,1,0,1,"hist",50,0.2188582,0.00107962111872578,0.222195,0.00148069402646235
"211",4,0,1,1,1,0,1,"hist",51,0.2183274,0.00102392120790249,0.2216834,0.00133820724852167
"212",4,0,1,1,1,0,1,"hist",52,0.217908,0.00104956448110747,0.2213304,0.00122538885256846
"213",4,0,1,1,1,0,1,"hist",53,0.2175052,0.000922408456164843,0.2209182,0.00105824862862899
"214",4,0,1,1,1,0,1,"hist",54,0.2171976,0.00104238737521317,0.2205808,0.00113436632531131
"215",4,0,1,1,1,0,1,"hist",55,0.2166856,0.000943069371787487,0.2201646,0.00109617053418227
"216",4,0,1,1,1,0,1,"hist",56,0.2163458,0.0012569552736664,0.2199776,0.0011305155638031
"217",4,0,1,1,1,0,1,"hist",57,0.215882,0.00104193070787269,0.2195568,0.000997425967180036
"218",4,0,1,1,1,0,1,"hist",58,0.2153728,0.00101412176783765,0.2190644,0.000905081344410085
"219",4,0,1,1,1,0,1,"hist",59,0.215036,0.000993387739002718,0.2187656,0.000831148987847437
"220",4,0,1,1,1,0,1,"hist",60,0.2145234,0.00105067780027935,0.2183486,0.000842925050045833
"221",4,0,1,1,1,0,1,"hist",61,0.2141008,0.00104165779409459,0.2180262,0.000805764829215255
"222",4,0,1,1,1,0,1,"hist",62,0.2136196,0.000984890166465963,0.217624,0.000718197465887513
"223",4,0,1,1,1,0,1,"hist",63,0.21325,0.000902985492685936,0.2173504,0.000767886085304666
"224",4,0,1,1,1,0,1,"hist",64,0.2129388,0.000928381473312319,0.2171134,0.000880902173909071
"225",4,0,1,1,1,0,1,"hist",65,0.2126678,0.000894952155150561,0.2168796,0.000930950825768276
"226",4,0,1,1,1,0,1,"hist",66,0.2122614,0.000969825056387795,0.216528,0.000948221071272097
"227",4,0,1,1,1,0,1,"hist",67,0.2117864,0.00102036456229904,0.2160498,0.000938944599003672
"228",4,0,1,1,1,0,1,"hist",68,0.2113724,0.00101479881750287,0.2157084,0.00092771430946946
"229",4,0,1,1,1,0,1,"hist",69,0.2110076,0.00111208014099956,0.2153722,0.000971043850708963
"230",4,0,1,1,1,0,1,"hist",70,0.21066,0.00123889628298499,0.2150654,0.00107273157872961
"231",4,0,1,1,1,0,1,"hist",71,0.2101916,0.00129736388110648,0.2146398,0.00123370813404262
"232",4,0,1,1,1,0,1,"hist",72,0.2098272,0.00115850514025789,0.2142822,0.001240234074681
"233",4,0,1,1,1,0,1,"hist",73,0.2095562,0.00126483823471588,0.214021,0.00122186365851514
"234",4,0,1,1,1,0,1,"hist",74,0.2092294,0.00127488926577874,0.2137526,0.00123527982255146
"235",4,0,1,1,1,0,1,"hist",75,0.208875,0.00117446856066786,0.2134616,0.00122700115729144
"236",4,0,1,1,1,0,1,"hist",76,0.2085188,0.000989861283207805,0.2131412,0.00121945682990336
"237",4,0,1,1,1,0,1,"hist",77,0.2081976,0.00107509787461312,0.2129034,0.00117157169648356
"238",4,0,1,1,1,0,1,"hist",78,0.2078984,0.0011848433820534,0.2126306,0.00129122819052014
"239",4,0,1,1,1,0,1,"hist",79,0.2075954,0.00105963589972675,0.2123946,0.0012489636664077
"240",4,0,1,1,1,0,1,"hist",80,0.2073732,0.00106895264628153,0.2122038,0.00130785464024077
"241",5,0,1,1,1,0,1,"hist",1,0.2880928,0.0002365573080818,0.2883008,0.000660014363470561
"242",5,0,1,1,1,0,1,"hist",2,0.2693144,0.000192603842076433,0.269791,0.000822884195986454
"243",5,0,1,1,1,0,1,"hist",3,0.2622392,0.000923319316377671,0.2628046,0.00164281887011141
"244",5,0,1,1,1,0,1,"hist",4,0.258051,0.000129230027498802,0.2590626,0.00092711630337931
"245",5,0,1,1,1,0,1,"hist",5,0.2544434,0.000501412245572516,0.2556636,0.00076074453005317
"246",5,0,1,1,1,0,1,"hist",6,0.2512928,0.000545196258254555,0.2526102,0.000851561718260632
"247",5,0,1,1,1,0,1,"hist",7,0.2481446,0.000756638513429198,0.2495218,0.000776844746399042
"248",5,0,1,1,1,0,1,"hist",8,0.2449426,0.000843935684751703,0.2465212,0.00114148839678898
"249",5,0,1,1,1,0,1,"hist",9,0.2429798,0.000690172847919761,0.2447002,0.0011475320300532
"250",5,0,1,1,1,0,1,"hist",10,0.241115,0.000486295383487778,0.2428606,0.00104563236368935
"251",5,0,1,1,1,0,1,"hist",11,0.2389814,0.000442431734834242,0.2408844,0.00088005399834558
"252",5,0,1,1,1,0,1,"hist",12,0.2374692,0.000596784517225746,0.2393858,0.000515299291668786
"253",5,0,1,1,1,0,1,"hist",13,0.2359732,0.000461238940247461,0.2379428,0.00075709190987046
"254",5,0,1,1,1,0,1,"hist",14,0.2348934,0.000142067026421459,0.2369844,0.000958646671094355
